Ticker
LYB UN
AXP UN
VZ UN
TPL UN
AVGO UW
BA UN
SOLV UN
CAT UN
JPM UN
CVX UN
KO UN
ABBV UN
DIS UN
CPAY UN
EXR UN
XOM UN
PSX UN
GE UN
HPQ UN
HD UN
MPWR UW
IBM UN
JNJ UN
LULU UW
MCD UN
MRK UN
MMM UN
AWK UN
BAC UN
PFE UN
PG UN
T UN
TRV UN
RTX UN
ADI UW
WMT UN
CSCO UW
INTC UW
GM UN
MSFT UW
DG UN
CI UN
KMI UN
C UN
AIG UN
MO UN
HCA UN
IP UN
HPE UN
ABT UN
AFL UN
APD UN
SMCI UW
RCL UN
HES UN
LII UN
ADM UN
ADP UW
VRSK UW
AZO UN
LIN UW
AVY UN
ENPH UQ
MSCI UN
BALL UN
AXON UW
DAY UN
CARR UN
BK UN
OTIS UN
BAX UN
BDX UN
BRK/B UN
BBY UN
BSX UN
BMY UN
BF/B UN
CTRA UN
HLT UN
CCL UN
BLDR UN
UDR UN
CLX UN
PAYC UN
CMS UN
CL UN
EPAM UN
CAG UN
ABNB UW
ED UN
GLW UN
GDDY UN
CMI UN
CZR UW
DHR UN
TGT UN
WSM UN
DE UN
D UN
DOV UN
LNT UW
STLD UW
DUK UN
REG UW
ETN UN
ECL UN
RVTY UN
DELL UN
EMR UN
EOG UN
AON UN
ETR UN
EFX UN
EQT UN
IQV UN
IT UN
FDX UN
BRO UN
F UN
NEE UN
BEN UN
GRMN UN
FCX UN
EXE UW
DXCM UW
GD UN
GIS UN
GPC UN
ATO UN
GWW UN
HAL UN
LHX UN
DOC UN
PODD UW
FTV UN
HSY UN
SYF UN
HRL UN
AJG UN
MDLZ UW
CNP UN
HUM UN
WTW UW
ITW UN
CDW UW
TT UN
IPG UN
IFF UN
GNRC UN
NXPI UW
K UN
BR UN
KMB UN
KIM UN
ORCL UN
KR UN
LEN UN
LLY UN
CHTR UW
L UN
LOW UN
HUBB UN
IEX UN
MMC UN
MAS UN
SPGI UN
MDT UN
VTRS UW
CVS UN
DD UN
MU UW
MSI UN
CBOE UF
NEM UN
NKE UN
NI UN
NSC UN
PFG UW
ES UN
NOC UN
WFC UN
NUE UN
OXY UN
OMC UN
OKE UN
RJF UN
PCG UN
PH UN
ROL UN
PPL UN
APTV UN
COP UN
PHM UN
PNW UN
PNC UN
PPG UN
DASH UW
PGR UN
VLTO UN
PEG UN
COO UW
EIX UN
SLB UN
SCHW UN
SHW UN
WST UN
SJM UN
SNA UN
AME UN
UBER UN
SO UN
TFC UN
LUV UN
WRB UN
SWK UN
PSA UN
ANET UN
SYY UN
CTVA UN
TXN UW
TXT UN
TMO UN
TJX UN
GL UN
JCI UN
ULTA UW
UNP UN
KEYS UN
UNH UN
BX UN
VTR UN
LH UN
VMC UN
WY UN
WMB UN
CEG UW
WEC UN
ADBE UW
VST UN
AES UN
EXPD UN
AMGN UW
AAPL UW
ADSK UW
CTAS UW
CMCSA UW
TAP UN
KLAC UW
MAR UW
FI UN
MKC UN
PCAR UW
COST UW
SYK UN
TSN UN
LW UN
AMAT UW
CAH UN
CINF UW
PARA UW
DHI UN
EA UW
ERIE UW
FICO UN
FAST UW
MTB UN
XEL UW
FITB UW
GILD UW
HAS UW
HBAN UW
WELL UN
BIIB UW
NTRS UW
PKG UN
PAYX UW
QCOM UW
ROST UW
IDXX UW
SBUX UW
KEY UN
FOXA UW
FOX UW
STT UN
NCLH UN
USB UN
AOS UN
GEN UW
TROW UW
WM UN
STZ UN
IVZ UN
INTU UW
MS UN
MCHP UW
CRWD UW
CB UN
HOLX UW
CFG UN
JBL UN
ORLY UW
ALL UN
EQR UN
KDP UW
HST UW
INCY UW
SPG UN
EMN UN
AVB UN
PRU UN
UPS UN
WBA UW
STE UN
MCK UN
LMT UN
COR UN
COF UN
CPB UW
WAT UN
NDSN UW
DLTR UW
DRI UN
EVRG UW
MTCH UW
NVR UN
NTAP UW
ODFL UW
DVA UN
HIG UN
IRM UN
EL UN
CDNS UW
TYL UN
UHS UN
SWKS UW
DGX UN
ROK UN
KHC UW
AMT UN
REGN UW
AMZN UW
JKHY UW
RL UN
BXP UN
APH UN
HWM UN
VLO UN
SNPS UW
CHRW UW
ACN UN
TDG UN
YUM UN
PLD UN
FE UN
VRSN UW
PWR UN
HSIC UW
AEE UN
ANSS UW
FDS UN
NVDA UW
CTSH UW
ISRG UW
TTWO UW
RSG UN
EBAY UW
GS UN
SBAC UW
SRE UN
MCO UN
ON UW
BKNG UW
FFIV UW
AKAM UW
CRL UN
MKTX UW
DVN UN
