Ticker
RKT LN
RMS FP
RMV LN
RNO FP
ROCKB DC
ROG SE
ROR LN
RR/ LN
RS1 LN
RTO LN
RUI FP
RWE GY
RXL FP
RYA ID
SAABB SS
SAB SQ
SAF FP
SAFE LN
SAGAB SS
SALM NO
SAMPO FH
SAN FP
SAN SQ
SAND SS
SAP GY
SAVE SS
SB1NO NO
SBMO NA
SBRY LN
SCAB SS
SCHP SE
SCMN SE
SCR FP
SCT LN
SDF GY
SDR LN
SDZ SE
SEBA SS
SECTB SS
SECUB SS
SFSN SE
SFZN SE
SGE LN
SGO FP
SGRO LN
SGSN SE
SHBA SS
SHC LN
SHELL NA
SHL GY
SIE GY
SIGN SE
SIKA SE
SK FP
SKAB SS
SKFB SS
SLHN SE
SMIN LN
SN/ LN
SOBI SS
SOF BB
SOON SE
SOP FP
SPIE FP
SPL PW
SPM IM
SPSN SE
SPX LN
SQN SE
SREN SE
SRG IM
SRP LN
SRT3 GY
SSABB SS
SSE LN
STAN LN
STB NO
STERV FH
STJ LN
STLAM IM
STMMI IM
STMN SE
SU FP
SUBC NO
SUN SE
SUNN SE
SVT LN
SW FP
SWECB SS
SWEDA SS
SXS LN
SY1 GY
SYDB DC
SYENS BB
TATE LN
TBCG LN
TCAP LN
TE FP
TECN SE
TEF SQ
TEG GY
TEL NO
TEL2B SS
TELIA SS
TEMN SE
TEN IM
TEP FP
THULE SS
TIETO FH
TIT IM
TKA GY
TKWY NA
TLX GY
TOM NO
TRELB SS
TRN IM
TRYG DC
TSCO LN
TTE FP
TUB BB
TUI1 GY
TW/ LN
UBSG SE
UCB BB
UCG IM
UHR SE
ULVR LN
UMG NA
UNI IM
UPM FH
URW FP
UTG LN
UU/ LN
VACN SE
VALMT FH
VAR NO
VER AV
VID SQ
VIE FP
VIS SQ
VK FP
VNA GY
VOD LN
VOE AV
VOLVB SS
VOW3 GY
VPK NA
VRLA FP
VTY LN
VWS DC
VZN SE
WALLB SS
WDP BB
WEIR LN
WIE AV
WIHL SS
WISE LN
WKL NA
WPP LN
WRT1V FH
WTB LN
YAR NO
ZAL GY
ZEAL DC
ZURN SE
